"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","wt_ba_mean","wt_veh_mean","hk3456_ba_mean","hk3456_veh_mean"
"Os02g0641300",926.03244269477,1.63726115918763,0.230690571102222,7.09721750379706,1.27293644853559e-12,4.58884625355894e-10,58.503202039327,19.7106485901263,18.6731602437633,17.0801144447923
"Os02g0642200",95.1720370183449,2.85700575163874,0.379838401721204,7.52163482863363,5.40955011910993e-14,2.30762392164365e-11,18.6293319033212,2.6693678337189,1.69179815011526,1.834208850593
"Os02g0643800",758.803040075396,1.77947559621331,0.225996467213847,7.87390890729943,3.43729250941788e-15,1.99948867678524e-12,95.3484726676258,29.0380251782624,26.5097892444243,25.8626129804906
"Os02g0646200",468.092471849544,1.84823719883474,0.302283309832378,6.11425486858544,9.70091599538797e-10,2.364713760971e-07,38.5128191432247,11.2817601766667,16.0626112524464,15.2302829044797
"Os02g0661600",127.373681454011,1.73622561165794,0.291964007197749,5.94671113169778,2.73583589888934e-09,5.64707418000587e-07,15.7192918204017,4.81972010981285,5.31575796092313,4.7485559532763
"Os02g0669000",1006.40451834965,1.40645253971029,0.215698473438399,6.52045662303659,7.00936762522097e-11,1.95005178660359e-08,54.6564867864162,21.4332272109379,30.4923800122081,30.5715540168399
"Os02g0669366",487.297125134472,1.47313167365219,0.390711444472397,3.77038270696538,0.000162997397044908,0.0101754106764986,50.1742740568557,19.1940344912089,21.1386413737169,21.5904457333745
"Os02g0684100",72.3760778359536,3.38941152427067,0.510464903429354,6.63985222392426,3.13997798580101e-11,9.03008275804235e-09,6.74608466635863,0.668812127438158,1.62019012898289,2.30972504205232
"Os02g0686700",605.387233745173,2.01377799201119,0.228433735200992,8.81558930093809,1.19057160171028e-18,9.52271254555453e-16,121.10646455163,31.452751679545,23.3690850337011,24.8908247857361
"Os02g0692000",268.806262801987,1.10696665961714,0.258859587676247,4.27632087941674,1.90007301204172e-05,0.00161034333586781,8.56900492204371,4.12036232497968,5.19665694262968,5.33388782095346
"Os02g0692700",326.27194750078,1.57186073845469,0.229451490122078,6.85051440554335,7.35849009915276e-12,2.35425692609769e-09,16.6248486411254,5.86402084009623,13.5778147753125,13.9768224323065
"Os02g0700500",1093.6505805115,1.1980303873443,0.169138827976623,7.08311865274297,1.40945894676272e-12,4.94179475923176e-10,40.4031380014705,18.2368956557809,19.4224075557555,18.1175248844213
"Os02g0723200",119.851948626942,1.36594129540951,0.238616802252694,5.72441371485226,1.03791541797519e-08,1.89753179450536e-06,6.68902892829834,2.67977920131368,3.16309409846706,2.84710183747152
"Os02g0729100",211.346341038549,1.13692909696845,0.227734778006645,4.99233848654981,5.96525926196267e-07,7.55845598068982e-05,12.9633818509309,6.06107403078982,7.58158021147209,7.63083501918923
"Os02g0738600",192.268428906874,1.51636402745483,0.245443233529803,6.17806409102212,6.48923730385087e-10,1.61254396885498e-07,7.9187575437533,2.84936174914353,3.81245730974187,3.45890658389925
